"Employee ID","Employee Name","Department","Email Address","Contact Number","Gender","Location","Status"
"1001","Ricky Antony","Computer Science","ra@gmail.com","+91 123 456 7890","Female","India","Active"
"1002","Ankites Risher","Computer Science","abc@gmail.com","+91 123 456 7890","Male","Brazil","Inactive"
"1003","Ricky M","Computer Science","pqr@gmail.com","+91 123 456 7890","Male","France","Active"
"1004","Elijah James","Computer Science","stuy@gmail.com","+91 123 456 7890","Female","Dubai","Active"
"1005","Honey Risher","Computer Science","xyz@gmail.com","+91 123 456 7890","Male","USA","Inactive"
"1006","Honey Risher","Computer Science","xyz@gmail.com","+91 123 456 7890","Male","USA","Active"
"1007","Ankites Risher","Computer Science","abc@gmail.com","+91 123 456 7890","Male","Brazil","Inactive"
"1008","Ricky M","Computer Science","pqr@gmail.com","+91 123 456 7890","Male","France","Active"
"1009","Ricky Antony","Computer Science","ra@gmail.com","+91 123 456 7890","Female","India","Inactive"
"1010","Elijah James","Computer Science","stuy@gmail.com","+91 123 456 7890","Female","Dubai","Active"
"1011","Ankites Risher","Computer Science","abc@gmail.com","+91 123 456 7890","Male","Brazil","Inactive"
"1012","Ricky Antony","Computer Science","ra@gmail.com","+91 123 456 7890","Female","India","Active"
